19-09-2017 02:24:15 | OVH Server list | IP: 213.251.182.111 ] | DNS: gw-cluster011.ovh.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/533.4 (KHTML, like Gecko) Chrome/5.0.375.99 Safari/533.4 | URL: / | Referer: sedesoft.com
26-09-2017 11:16:02 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

30-09-2017 01:07:06 | Cookie protect | IP: 192.222.138.231 ] | DNS: 192-222-138-231.qc.cable.ebox.net | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36 | URL: / | Referer: no referer

30-09-2017 01:07:09 | Cookie protect | IP: 192.222.138.231 ] | DNS: 192-222-138-231.qc.cable.ebox.net | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36 | URL: /profile.php | Referer: https://www.sedesoft.com/

2-10-2017 15:41:45 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

2-10-2017 15:41:47 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

2-10-2017 15:43:02 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

2-10-2017 15:43:05 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

2-10-2017 15:43:36 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

2-10-2017 15:43:39 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

2-10-2017 15:44:22 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

2-10-2017 15:44:24 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

2-10-2017 15:46:04 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

